,File Name,Flight Number,Departure Airport,Arrival Airport,Aircraft Registration,Scheduled Time of Departure,Flight Date
252,202502131956162338081.xml,HA539,KOA,OGG,N491HA,22:27:00Z,2025-02-13
253,202502132135582338738.xml,HA268,HNL,KOA,N478HA,21:55:00Z,2025-02-13
254,202502131956162338080.xml,HA258,HNL,KOA,N491HA,21:05:00Z,2025-02-13
255,202502132134562338733.xml,HA92,HNL,SJC,N205HA,23:20:00Z,2025-02-13
256,202502131717542337190.xml,HA61,LAX,KOA,N218HA,19:00:00Z,2025-02-13
257,202502131750432337403.xml,HA192,HNL,ITO,N476HA,19:00:00Z,2025-02-13
258,202502131920492337908.xml,HA238,HNL,KOA,N483HA,20:30:00Z,2025-02-13
259,202502131645482336937.xml,HA167,KOA,HNL,N491HA,19:23:00Z,2025-02-13
260,202502131603072336668.xml,HA219,ITO,OGG,N493HA,18:35:00Z,2025-02-13
261,202502130842252335390.xml,HA1613,JFK,CVG,N4649K,11:37:00Z,2025-02-13
262,202502132156242338957.xml,HA34,OGG,LAX,N388HA,23:10:00Z,2025-02-13
263,202502130330352334115.xml,HA337,KOA,HNL,N476HA,02:31:00Z,2025-02-13
264,202502130425342334386.xml,HA552,HNL,ITO,N491HA,05:35:00Z,2025-02-13
265,202502130125112333523.xml,HA62,KOA,LAX,N209HA,02:25:00Z,2025-02-13
266,202502131258382335948.xml,HA59,SMF,OGG,N213HA,15:00:00Z,2025-02-13
267,202502130321012334072.xml,HA532,HNL,ITO,N489HA,04:30:00Z,2025-02-13
